omega,x,y,z
0.0,0.65,-0.8462,-0.2936
0.0,0.598,-0.8177,-0.311
0.0,0.546,-0.7911,-0.3277
0.0,0.494,-0.7665,-0.3435
0.0,0.442,-0.7439,-0.358
0.0,0.39,-0.7236,-0.3715
0.0,0.338,-0.7055,-0.3835
0.0,0.286,-0.6899,-0.3942
0.0,0.234,-0.6767,-0.4032
0.0,0.182,-0.6661,-0.4106
0.0,0.13,-0.6581,-0.4162
0.0,0.078,-0.6527,-0.4199
0.0,0.026,-0.65,-0.4218
0.0,-0.026,-0.65,-0.4218
0.0,-0.078,-0.6527,-0.4199
0.0,-0.13,-0.6581,-0.4162
0.0,-0.182,-0.6661,-0.4106
0.0,-0.234,-0.6767,-0.4032
0.0,-0.286,-0.6899,-0.3942
0.0,-0.338,-0.7055,-0.3835
0.0,-0.39,-0.7236,-0.3715
0.0,-0.442,-0.7439,-0.358
0.0,-0.494,-0.7665,-0.3435
0.0,-0.546,-0.7911,-0.3277
0.0,-0.598,-0.8177,-0.311
0.0,-0.65,-0.8462,-0.2936
0.0,0.,-0.65,-0.4225
0.0,0.,-0.598,-0.3576
0.0,0.,-0.546,-0.2981
0.0,0.,-0.494,-0.244
0.0,0.,-0.442,-0.1954
0.0,0.,-0.39,-0.1521
0.0,0.,-0.338,-0.1142
